,Клиент,unique_orders_count,unique_orders_order_list
361,АССтрой72,1,[9701]
362,АСТИ,1,[13733]
363,АСТОРИЯ,1,[10343]
364,АСУ,1,[13737]
365,АСЭ (Атомстройэкспорт),1,[14987]
366,АСЭП,1,[9679]
367,АТ-Газ,8,[14493 15306 12434 13012 13152 13458 12275 11609]
368,АТЕК-Строй,1,[9292]
369,АТЖ ,1,[7482]
370,АТИК ПромГражданПроект,1,[10750]
371,АТК,1,[14762]
372,АТЛАНТ ГРУПП,1,[9020]
373,АТЛАС МАЙНИНГ,1,[15161]
374,АТОМСТРОЙРЕЗЕРВ,4,[ 7990 13072 12208 11036]
375,АТС-Сервис,1,[15211]
376,АТХС,6,[ 8731  9131  8930  9855 11560 10846]
377,АУРУС,1,[12162]
378,АФГ Националь Агро,1,[13579]
379,АФИ РУС,1,[7592]
380,АФЛОР КОМПАНИ,1,[13759]
381,АХИ,1,[10734]
382,АЧИМ ДЕВЕЛОПМЕНТ,1,[13299]
383,АЧИМГАЗ,1,[8583]
384,АЭК-Холдинг,3,[14231 13462 13523]
385,АЭРО ИКСИА,2,[10695 11024]
386,АЭРОКОМ,1,[7839]
387,АЭРОЛАЙФ-М,1,[10895]
388,АЭРОПОРТ ГЕЛЕНДЖИК,1,[9614]
389,АЭРОТЕРМИНАЛ,1,[14625]
390,Абдразаков,1,[9133]
391,Абдуллин Т.Н.,1,[11965]
392,Абсолют проект,1,[9585]
393,Ав-Технология,1,[14955]
394,Авалон Групп Плюс,1,[11866]
395,Авангард,3,[ 8857 14036 14480]
396,Авангард-Агро-Орел,1,[7243]
397,Авангардстрой-М,1,[9689]
398,Авант,1,[11508]
399,Аварийно-спасательная служба Волгоградской областиУ,1,[13707]
400,Аватков Владимир,1,[10346]
401,Авд-Плюс,1,[7402]
402,Авента,1,[7538]
403,Авеню Проект,1,[12016]
404,Авиадеревня Михеево,2,[14092 14840]
405,Авиакомпания Аврора,1,[7276]
406,Авиаметтелеком Росгидромета,2,[ 8770 11963]
407,Авиапредприятие Газпром авиа,4,[ 9071  9051 10502  6911]
408,Авиапромстрой,1,[12495]
409,Авиатест ЛТД,1,[12775]
410,Аворник ЛТД,1,[14110]
411,Аврора СК,2,[12126 12055]
412,Авто-ворота,1,[7270]
413,АвтоАльянс,2,[10209  6893]
414,АвтоСпецСтрой,1,[10965]
415,АвтоСпецТехника,1,[11230]
416,Автобан,1,[6711]
417,Автобан ДСК,13,"[ 8639  7359  7386  7419  7421 10537 13903 13917 13979  6677  7118 13627
 12233]"
418,Автодор,1,[14916]
419,Автодор-Телеком,1,[10344]
420,Автодорога,5,[ 7787  7790 10669  7000 10999]
421,Автолинии,1,[12159]
422,Автоматика ПТЗ,1,[7620]
423,Автоматика и системы связи,1,[8144]
424,Автоматика-сервис,1,[11789]
425,Автомобильные дороги,1,[7159]
426,Автомобильные дороги ВАО,1,[9581]
427,Автомобильные дороги ЦАО,1,[7228]
428,Автономная некоммерческая организация Научное образование прогрессива,1,[7918]
429,Автополе Мото Кудрово,1,[14984]
430,Автострой,1,[7522]
431,Автоэлектроника,1,[13446]
432,Агаповская ветстанция,1,[9760]
433,АгатГрупп,2,[ 6707 12131]
434,Агбор М,3,[ 9262  8813 13888]
435,Агенство Русспромоценка,1,[7115]
436,Агентство ЛУКОМ-А-Нефтехим,1,[12161]
437,Агентство по закупкам в сфере здравоохранения,1,[9536]
438,Агентство по развитию регионального туризма,1,[13494]
439,Аграрная Группа МП,1,[9329]
440,Агрико Хайбрид Дженетикс,1,[8882]
441,Агрисовгаз,1,[10882]
442,АгроАльянсРазвития,1,[11977]
443,АгроСервис,1,[10554]
444,АгроСтройСистем,1,[8451]
445,АгроСтройТорг,1,[13580]
446,АгроТула ,1,[8683]
447,Агрокультура Групп,2,[7580 6748]
448,Агропромышленная ассоциация Халяль,1,[8066]
449,Агропромэнерго НСК,1,[13411]
450,Агросила,1,[11500]
451,Агрострой,1,[13887]
452,Агротерра,5,[ 8530  9146 13309 13377 11316]
453,Агрофирма Дмитрова Гора,1,[14304]
454,Агрофирма Южная,1,[9545]
455,Агрохолдинг АВАНГАРД,1,[14434]
456,Агрохолдинг СТЕПЬ,1,[9765]
457,Адарастрой,1,[15204]
458,Адитим,1,[8309]
459,Адитон,1,[11055]
460,Адия ,1,[8356]
461,Администрации Заполярного района НАО,1,[10980]
462,Администрации муниципального образования Верхнетоемский муниципальный район,1,[7822]
463,Администрация Аяно-Майского муниципального района Хабаровского края,1,[9993]
464,Администрация Балтийского городского округа,1,[14990]
465,Администрация Волго-Балт,2,[ 8090 14296]
466,Администрация ГП Приютовский поссовет МР Белебеевский район РБ,1,[11634]
467,Администрация Калининского сельского поселения Шолоховского района Ростовской области,1,[10097]
468,Администрация Каргинского сельского поселения,1,[10198]
469,Администрация МО Город Архангельск,1,[9495]
470,Администрация МО Свирицкое сельское поселение Волховского муниципального района Ленинградской области,1,[13970]
471,Администрация МО город-курорт Анапа,1,[7814]
472,Администрация СП Село Муромцево,1,[12196]
473,Администрация Усть-Кутского района,1,[9221]
474,Администрация Частинского муниципального округа Пермского края,1,[12140]
475,"Администрация муниципального образования "" Кабанский район"" Республики Бурятия",2,[8388 7731]
476,Администрация муниципального образования Пинежский муниципальный район,1,[11057]
477,Администрация поселения Михайлово-Ярцевское,1,[9739]
478,Адсорбционные газовые системы,1,[14616]
479,Азиатско-Тихоокеанский банк,1,[10417]
480,Азимут,2,[12400 12325]
481,Азия Цемент,2,[10168 12283]
482,Азия-Мар,1,[9285]
483,АзияЦемент,1,[7079]
484,Азнакаевское ПТС,1,[15115]
485,Азот,12,[ 9482 13905 14912 15122 15168 15169 15170 15171 15172 12513 13415 11209]
486,Азот-Взрыв,1,[10279]
487,Ай Ди Инжинирс,1,[12970]
